_id,CFD_ID,Name_of_CFD_Unit,Allocation_Round,Technology_Type,Transmission_or_Distribution_connection,Status,Expected_Start_Date,Maximum_Contract_Capacity_MW
1,AAA-ACH-183,Achlachan Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Live (Post-FIC),"",10.000
2,AAA-BAD-185,Bad A Cheo Wind Farm,Allocation Round 1,Onshore Wind,Transmission,Live (Post-FIC),"",26.340
3,AAA-BAN-189,Kype Muir Wind Farm,Allocation Round 1,Onshore Wind,Transmission,Live (Post-FIC),"",87.230
4,AAA-BAN-190,Moor House Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Live (Post-FIC),"",11.960
5,AAA-BAN-192,Middle Muir Wind Farm,Allocation Round 1,Onshore Wind,Transmission,Live (Post-FIC),"",50.730
6,AAA-BRE-177,Brenig Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Live (Post-FIC),"",37.600
7,AAA-CAM-197,Triangle Farm Solar Park,Allocation Round 1,Solar PV,Distribution,Live (Post-FIC),"",10.900
8,AAA-CLO-186,Clocaenog Forest Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Live (Post-FIC),"",95.680
9,AAA-COI-196,Coire Na Cloiche Windfarm,Allocation Round 1,Onshore Wind,Distribution,Live (Post-FIC),"",30.000
10,AAA-COM-191,Common Barn Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Live (Post-FIC),"",6.070
11,AAA-DOR-182,Dorenell Wind Farm,Allocation Round 1,Onshore Wind,Transmission,Live (Post-FIC),"",173.700
12,AAA-ENE-171,Energy Works (Hull),Allocation Round 1,Advanced Conversion Technology,Distribution,Live (Post-FIC),"",25.000
13,AAA-ENV-169,Enviroparks Hirwaun Generation Site,Allocation Round 1,Advanced Conversion Technology,Distribution,Terminated,"",11.000
14,AAA-GEN-188,Wren Power and Pulp,Allocation Round 1,Energy from Waste,Distribution,Terminated,"",49.750
15,AAA-K3C-180,K3 CHP Facility,Allocation Round 1,Energy from Waste,Distribution,Live (Post-FIC),"",45.000
16,AAA-LIG-176,Charity Farm,Allocation Round 1,Solar PV,Distribution,Live (Post-FIC),"",11.940
17,AAA-MYN-178,Mynydd Y Gwair Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Live (Post-FIC),"",32.215
18,AAA-NAN-184,Nanclach Wind Farm,Allocation Round 1,Onshore Wind,Distribution,Live (Post-FIC),"",39.100
