# Provenance: RO annual-aggregate emitted from Ofgem XLSX dataset companions (SY18-SY23).
#
# Each row below is extracted from the scheme-year XLSX listed in the .meta.json sources[] array.
# SY17 deferred per Phase 05.2 revision_decisions.sy17_disposition (PDF-only year).
#
# Source XLSX inventory (also enumerated in .meta.json):
#   - SY18 (2019-20): https://www.ofgem.gov.uk/sites/default/files/docs/2021/03/ro_annual_report_data_2019-20.xlsx
#   - SY19 (2020-21): https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
#   - SY20 (2021-22): https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
#   - SY21 (2022-23): https://www.ofgem.gov.uk/sites/default/files/2024-03/renewables_obligation_annual_report_sy21_dataset.xlsx
#   - SY22 (2023-24): https://www.ofgem.gov.uk/sites/default/files/2025-03/Renewables-Obligation-(RO)-2023-to-2024-(SY22)-Annual-Report-Dataset.xlsx
#   - SY23 (2024-25): https://www.ofgem.gov.uk/sites/default/files/2026-03/Renewables_Obligation_Annual_Report_Scheme_Year_23_Dataset-20260327121339.xlsx
#
# Audit log:
#   2026-04-24 — Phase 05.2 Plan 02 emission (replaces commit a720ae7 in-place).
#
scheme_year,year,country,technology,generation_gwh,rocs_issued,ro_cost_gbp_nominal,source_pdf_url
SY18,2020,GB,All technologies,84920.897,114706958.0,,https://www.ofgem.gov.uk/sites/default/files/docs/2021/03/ro_annual_report_data_2019-20.xlsx
SY19,2021,GB,Fuelled,,21480902.0,,https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
SY19,2021,GB,Hydro,,2610584.0,,https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
SY19,2021,GB,Landfill gas,,2932496.0,,https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
SY19,2021,GB,Offshore wind,,44083339.0,,https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
SY19,2021,GB,Onshore wind,,27266279.0,,https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
SY19,2021,GB,Sewage gas,,704937.0,,https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
SY19,2021,GB,Solar PV,,10125690.0,,https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
SY19,2021,GB,Tidal power,,48655.0,,https://www.ofgem.gov.uk/sites/default/files/2022-03/RO Annual Report 2020-21 - Dataset.xlsx
SY20,2022,GB,Fuelled,15393.437856721901,18238024.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,GB,Fuelled,1270.9025238092274,2428646.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,GB,Fuelled,562.0750718459177,821791.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,GB,Hydro,52.88699999999985,52740.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,GB,Hydro,2096.306,2096306.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,GB,Hydro,139.16699999999997,139128.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
SY20,2022,GB,Landfill gas,2393.171,2336691.0,,https://www.ofgem.gov.uk/sites/default/files/2023-03/Renewables Obligation Annual Report Scheme Year 20 Dataset.xlsx
