# Provenance: Monthly ROC-issue aggregate regenerated from Ofgem 12-year XLSX (D-01).
# Source: data/raw/ofgem/rocs_report_2006_to_2018_20250410081520.xlsx
#   Sheet: 'ROCs by Tech & Month'
#   Coverage: Apr 2006 – Mar 2018 (12 obligation years SY5–SY17)
# generation_mwh is null throughout — the 12-year XLSX carries ROC counts only.
# country='GB' throughout — the sheet aggregates all UK nations.
#
# Re-generate: uv run python3 -c
#   "from uk_subsidy_tracker.data.ofgem_aggregate import emit_ro_generation_csv; emit_ro_generation_csv()"
#
# SHA256 of source XLSX: 76104acfbb46304867c14549e32fe98e1d0bc3791da1e1a431e8958a80d890b1
year,month,country,technology,generation_mwh,rocs_issued
2006,4,GB,Biomass using an Advanced Conversion Technology,,786.0
2006,4,GB,Co-firing of Biomass with Fossil Fuel,,123196.0
2006,4,GB,Fuelled,,96700.0
2006,4,GB,Hydro 20MW DNC or less,,192426.0
2006,4,GB,Hydro 50kW DNC or less,,1803.0
2006,4,GB,Landfill Gas,,347376.0
2006,4,GB,Micro Hydro,,5540.0
2006,4,GB,Off-shore Wind,,52288.0
2006,4,GB,On-shore Wind,,311164.0
2006,4,GB,Photovoltaic,,7.0
2006,4,GB,Photovoltaic 50kW DNC or less,,220.0
2006,4,GB,Sewage Gas,,28327.0
2006,4,GB,Waste using an Advanced Conversion Technology,,0.0
2006,4,GB,Wave Power,,0.0
2006,4,GB,Wind 50kW DNC or less,,693.0
2006,5,GB,Biomass using an Advanced Conversion Technology,,825.0
2006,5,GB,Co-firing of Biomass with Fossil Fuel,,106693.0
2006,5,GB,Fuelled,,92388.0
2006,5,GB,Hydro 20MW DNC or less,,152801.0
2006,5,GB,Hydro 50kW DNC or less,,50.0
2006,5,GB,Landfill Gas,,362528.0
2006,5,GB,Micro Hydro,,4436.0
2006,5,GB,Off-shore Wind,,63618.0
2006,5,GB,On-shore Wind,,290173.0
2006,5,GB,Photovoltaic,,14.0
2006,5,GB,Photovoltaic 50kW DNC or less,,3.0
2006,5,GB,Sewage Gas,,29889.0
2006,5,GB,Waste using an Advanced Conversion Technology,,138.0
2006,5,GB,Wave Power,,0.0
2006,5,GB,Wind 50kW DNC or less,,4.0
2006,6,GB,Biomass using an Advanced Conversion Technology,,830.0
2006,6,GB,Co-firing of Biomass with Fossil Fuel,,108496.0
2006,6,GB,Fuelled,,83661.0
2006,6,GB,Hydro 20MW DNC or less,,101396.0
2006,6,GB,Hydro 50kW DNC or less,,67.0
2006,6,GB,Landfill Gas,,339708.0
2006,6,GB,Micro Hydro,,3185.0
2006,6,GB,Off-shore Wind,,33891.0
2006,6,GB,On-shore Wind,,193649.0
2006,6,GB,Photovoltaic,,29.0
2006,6,GB,Photovoltaic 50kW DNC or less,,5.0
2006,6,GB,Sewage Gas,,28397.0
2006,6,GB,Waste using an Advanced Conversion Technology,,150.0
2006,6,GB,Wave Power,,1.0
2006,6,GB,Wind 50kW DNC or less,,1.0
